FechaMensual,CodigoEstacion,Valor
2012-08-01,53020010,169.0
2012-09-01,53020010,140.0
2012-10-01,53020010,355.0
2012-11-01,53020010,318.0
2012-12-01,53020010,365.0
2013-01-01,53020010,783.0
2013-02-01,53020010,146.0
2013-03-01,53020010,322.0
2013-04-01,53020010,502.0
2013-05-01,53020010,529.0
2013-06-01,53020010,227.0
2013-07-01,53020010,146.0
2013-08-01,53020010,271.0
2013-09-01,53020010,172.0
2013-10-01,53020010,204.0
2013-11-01,53020010,157.0
2013-12-01,53020010,123.0
2014-01-01,53020010,389.0
2014-02-01,53020010,311.0
2014-03-01,53020010,238.0
2014-04-01,53020010,424.0
2014-05-01,53020010,418.0
2014-06-01,53020010,609.0
2014-07-01,53020010,331.0
2014-08-01,53020010,421.0
2014-09-01,53020010,218.0
2014-10-01,53020010,368.0
2014-11-01,53020010,163.0
2014-12-01,53020010,417.0
2015-01-01,53020010,294.0
2015-02-01,53020010,277.0
2015-03-01,53020010,169.0
2015-04-01,53020010,343.0
2015-05-01,53020010,467.0
2015-06-01,53020010,379.0
2015-07-01,53020010,613.0
2015-08-01,53020010,163.0
2015-09-01,53020010,122.0
2015-10-01,53020010,576.0
2015-11-01,53020010,354.0
2015-12-01,53020010,122.0
2006-01-01,52050130,72.5
2006-02-01,52050130,47.9
2006-03-01,52050130,157.8
2006-04-01,52050130,180.9
2006-05-01,52050130,67.2
2006-06-01,52050130,83.7
2006-07-01,52050130,27.5
2006-08-01,52050130,20.4
2006-09-01,52050130,36.6
2006-10-01,52050130,44.0
2006-11-01,52050130,206.2
2006-12-01,52050130,160.3
2007-01-01,52050130,62.8
2007-02-01,52050130,56.6
2007-03-01,52050130,166.3
2007-04-01,52050130,141.6
2007-05-01,52050130,140.7
2007-06-01,52050130,67.1
2007-07-01,52050130,54.0
2007-08-01,52050130,46.0
2007-09-01,52050130,20.2
2007-10-01,52050130,174.0
2007-11-01,52050130,189.4
2007-12-01,52050130,129.4
2008-01-01,52050130,101.4
2008-02-01,52050130,88.7
2008-03-01,52050130,121.8
2008-04-01,52050130,206.4
2008-05-01,52050130,226.8
2008-06-01,52050130,100.8
2008-07-01,52050130,33.2
2008-08-01,52050130,47.4
2008-09-01,52050130,68.5
2008-10-01,52050130,207.0
2008-11-01,52050130,126.2
2008-12-01,52050130,149.7
2009-01-01,52050130,180.0
2009-02-01,52050130,119.3
2009-03-01,52050130,166.2
2009-04-01,52050130,119.2
2009-05-01,52050130,68.5
2009-06-01,52050130,73.5
2009-07-01,52050130,44.2
2009-08-01,52050130,20.8
2009-09-01,52050130,18.6
2009-10-01,52050130,47.3
2009-11-01,52050130,38.8
2009-12-01,52050130,109.2
2010-01-01,52050130,5.4
2010-02-01,52050130,79.5
2010-03-01,52050130,41.0
2010-04-01,52050130,252.3
2010-05-01,52050130,146.1
2010-06-01,52050130,95.7
2010-07-01,52050130,141.0
2010-08-01,52050130,36.4
2010-09-01,52050130,51.1
2010-10-01,52050130,92.6
2010-11-01,52050130,229.8
2010-12-01,52050130,194.8
2011-01-01,52050130,77.0
2011-02-01,52050130,179.2
2011-03-01,52050130,158.2
2011-04-01,52050130,207.4
2011-05-01,52050130,109.7
2011-06-01,52050130,70.5
2011-07-01,52050130,115.6
2011-08-01,52050130,45.9
2011-09-01,52050130,26.0
2011-10-01,52050130,139.0
2011-11-01,52050130,157.0
2011-12-01,52050130,184.5
2012-01-01,52050130,120.7
2012-02-01,52050130,125.1
2012-03-01,52050130,97.3
2012-05-01,52050130,63.2
2012-08-01,52050130,19.1
2012-09-01,52050130,23.5
2012-10-01,52050130,65.5
2012-11-01,52050130,93.7
2013-01-01,52050130,93.1
2013-02-01,52050130,158.2
2013-03-01,52050130,85.9
2013-04-01,52050130,112.3
2013-05-01,52050130,210.2
2013-06-01,52050130,28.1
2013-07-01,52050130,52.5
2013-08-01,52050130,45.8
2013-09-01,52050130,16.3
2013-10-01,52050130,143.8
2013-11-01,52050130,88.6
2013-12-01,52050130,73.2
2014-01-01,52050130,107.7
2014-02-01,52050130,26.4
2014-03-01,52050130,137.3
2014-04-01,52050130,49.1
2014-05-01,52050130,154.7
2014-06-01,52050130,120.7
2014-07-01,52050130,37.7
2014-08-01,52050130,37.1
2014-09-01,52050130,48.6
2014-10-01,52050130,110.7
2014-11-01,52050130,138.8
2014-12-01,52050130,128.8
2015-01-01,52050130,74.5
2015-02-01,52050130,48.0
2015-03-01,52050130,127.4
2015-04-01,52050130,119.9
2015-05-01,52050130,60.2
2015-06-01,52050130,48.9
2015-07-01,52050130,85.9
2015-08-01,52050130,21.0
2015-09-01,52050130,17.7
2015-10-01,52050130,102.7
2015-11-01,52050130,114.4
2015-12-01,52050130,24.3
2006-01-01,52030090,132.8
2006-02-01,52030090,73.4
2006-03-01,52030090,321.6
2006-04-01,52030090,146.2
2006-05-01,52030090,28.9
2006-06-01,52030090,92.2
2006-07-01,52030090,21.2
2006-08-01,52030090,15.6
2006-09-01,52030090,9.4
2006-10-01,52030090,261.9
2006-11-01,52030090,198.1
2006-12-01,52030090,177.0
2007-01-01,52030090,62.0
2007-02-01,52030090,38.8
2007-03-01,52030090,115.8
2007-04-01,52030090,182.6
2007-05-01,52030090,84.7
2007-06-01,52030090,34.5
2007-07-01,52030090,25.5
2007-08-01,52030090,38.4
2007-09-01,52030090,6.6
2007-10-01,52030090,322.2
2007-11-01,52030090,180.6
2007-12-01,52030090,322.6
2008-01-01,52030090,275.0
2008-02-01,52030090,186.0
2008-03-01,52030090,224.9
2008-04-01,52030090,116.0
2008-05-01,52030090,218.1
2008-06-01,52030090,52.7
2008-07-01,52030090,15.5
2008-08-01,52030090,7.3
2008-09-01,52030090,41.2
2008-10-01,52030090,171.2
2008-11-01,52030090,279.1
2008-12-01,52030090,376.6
2009-01-01,52030090,157.8
2009-02-01,52030090,171.2
2009-03-01,52030090,148.4
2009-04-01,52030090,69.5
2009-05-01,52030090,38.3
2009-06-01,52030090,18.1
2009-07-01,52030090,44.8
2009-08-01,52030090,23.6
2009-09-01,52030090,25.7
2009-10-01,52030090,166.2
2009-11-01,52030090,127.9
2009-12-01,52030090,105.5
2010-01-01,52030090,8.0
2010-02-01,52030090,69.3
2010-03-01,52030090,32.3
2010-04-01,52030090,161.2
2010-05-01,52030090,183.8
2010-06-01,52030090,49.8
2010-07-01,52030090,124.8
2010-08-01,52030090,0.8
2010-09-01,52030090,33.8
2010-10-01,52030090,230.4
2010-11-01,52030090,385.8
2010-12-01,52030090,165.1
2011-01-01,52030090,107.4
2011-02-01,52030090,263.6
2011-03-01,52030090,163.2
2011-04-01,52030090,257.9
2011-05-01,52030090,155.9
2011-06-01,52030090,52.6
2011-07-01,52030090,95.4
2011-08-01,52030090,19.7
2011-09-01,52030090,42.0
2011-10-01,52030090,231.6
2011-11-01,52030090,184.8
2011-12-01,52030090,239.5
2012-01-01,52030090,238.1
2012-02-01,52030090,153.9
2012-03-01,52030090,56.3
2012-04-01,52030090,156.7
2012-05-01,52030090,19.0
2012-06-01,52030090,5.3
2012-09-01,52030090,17.1
2012-10-01,52030090,160.7
2012-11-01,52030090,78.0
2012-12-01,52030090,152.1
2013-01-01,52030090,20.3
2013-02-01,52030090,130.1
2013-03-01,52030090,69.5
2013-04-01,52030090,187.2
2013-05-01,52030090,229.7
2013-06-01,52030090,7.5
2013-07-01,52030090,78.9
2013-08-01,52030090,51.7
2013-09-01,52030090,36.8
2013-10-01,52030090,181.2
2013-11-01,52030090,360.2
2013-12-01,52030090,177.4
2014-01-01,52030090,100.6
2014-02-01,52030090,93.3
2014-03-01,52030090,119.7
2014-04-01,52030090,27.1
2014-05-01,52030090,182.9
2014-06-01,52030090,60.1
2014-07-01,52030090,24.8
2014-08-01,52030090,13.1
2014-09-01,52030090,40.1
2014-10-01,52030090,130.1
2014-11-01,52030090,266.8
2014-12-01,52030090,201.3
2015-01-01,52030090,79.1
2015-02-01,52030090,83.5
2015-03-01,52030090,220.0
2015-04-01,52030090,150.6
2015-05-01,52030090,6.1
2015-06-01,52030090,34.1
2015-07-01,52030090,14.0
2015-08-01,52030090,4.4
2015-09-01,52030090,7.6
2015-10-01,52030090,76.0
2015-11-01,52030090,143.7
2015-12-01,52030090,0.0
2006-01-01,52050110,96.6
2006-02-01,52050110,78.9
2006-03-01,52050110,92.1
2006-04-01,52050110,135.0
2006-05-01,52050110,35.6
2006-06-01,52050110,115.1
2006-07-01,52050110,30.4
2006-08-01,52050110,19.4
2006-09-01,52050110,23.3
2006-10-01,52050110,33.5
2006-11-01,52050110,137.3
2006-12-01,52050110,136.6
2007-01-01,52050110,48.7
2007-02-01,52050110,11.5
2007-03-01,52050110,88.1
2007-04-01,52050110,108.4
2007-05-01,52050110,65.1
2007-06-01,52050110,29.7
2007-07-01,52050110,50.1
2007-08-01,52050110,25.4
2007-09-01,52050110,11.0
2007-10-01,52050110,158.1
2007-11-01,52050110,122.8
2007-12-01,52050110,130.0
2008-01-01,52050110,37.7
2008-02-01,52050110,118.0
2008-03-01,52050110,109.1
2008-04-01,52050110,90.1
2008-05-01,52050110,177.1
2008-06-01,52050110,60.9
2008-07-01,52050110,15.7
2008-08-01,52050110,38.3
2008-09-01,52050110,25.0
2008-10-01,52050110,108.7
2008-11-01,52050110,105.3
2008-12-01,52050110,123.6
2009-01-01,52050110,128.0
2009-02-01,52050110,103.7
2009-03-01,52050110,170.8
2009-04-01,52050110,86.2
2009-05-01,52050110,26.8
2009-06-01,52050110,47.2
2009-07-01,52050110,15.3
2009-08-01,52050110,20.0
2009-09-01,52050110,36.7
2009-10-01,52050110,68.2
2009-11-01,52050110,68.6
2009-12-01,52050110,150.5
2010-01-01,52050110,13.5
2010-02-01,52050110,55.4
2010-03-01,52050110,29.1
2010-04-01,52050110,200.2
2010-05-01,52050110,127.4
2010-06-01,52050110,58.0
2010-07-01,52050110,72.6
2010-08-01,52050110,17.2
2010-09-01,52050110,49.0
2010-10-01,52050110,88.5
2010-11-01,52050110,203.3
2010-12-01,52050110,138.9
2011-01-01,52050110,57.0
2011-02-01,52050110,128.5
2011-03-01,52050110,126.2
2011-04-01,52050110,209.9
2011-05-01,52050110,76.1
2011-06-01,52050110,88.4
2011-07-01,52050110,134.8
2011-08-01,52050110,25.7
2011-09-01,52050110,22.3
2011-10-01,52050110,95.8
2011-11-01,52050110,67.4
2011-12-01,52050110,176.5
2012-01-01,52050110,158.0
2012-02-01,52050110,77.0
2012-03-01,52050110,163.6
2012-04-01,52050110,114.9
2012-05-01,52050110,41.8
2012-06-01,52050110,22.4
2012-07-01,52050110,16.0
2012-08-01,52050110,27.8
2012-09-01,52050110,5.9
2012-10-01,52050110,88.7
2012-11-01,52050110,119.3
2012-12-01,52050110,43.0
2013-01-01,52050110,88.9
2013-02-01,52050110,155.6
2013-03-01,52050110,74.8
2013-04-01,52050110,90.6
2013-05-01,52050110,198.2
2013-06-01,52050110,19.1
2013-07-01,52050110,38.0
2013-08-01,52050110,30.6
2013-09-01,52050110,19.5
2013-10-01,52050110,136.0
2013-11-01,52050110,87.3
2013-12-01,52050110,49.8
2014-01-01,52050110,92.3
2014-02-01,52050110,35.6
2014-03-01,52050110,96.8
2014-04-01,52050110,32.3
2014-05-01,52050110,151.7
2014-06-01,52050110,71.9
2014-07-01,52050110,30.4
